team_id,name,short_name,slug,name_code,url,leagues,seasons
34,Leeds United,Leeds,leeds-united,LEE,https://www.sofascore.com/football/team/leeds-united/34,EPL,"22/23, 25/26"
2845,Leganés,Leganés,leganes,LEG,https://www.sofascore.com/football/team/leganes/2845,La Liga,24/25
31,Leicester City,Leicester,leicester-city,LEI,https://www.sofascore.com/football/team/leicester-city/31,EPL,"22/23, 24/25"
2849,Levante UD,Levante,levante-ud,LEV,https://www.sofascore.com/football/team/levante-ud/2849,La Liga,25/26
1643,Lille,Lille,lille,LIL,https://www.sofascore.com/football/team/lille/1643,Ligue 1,"22/23, 23/24, 24/25, 25/26"
44,Liverpool,Liverpool,liverpool,LIV,https://www.sofascore.com/football/team/liverpool/44,EPL,"22/23, 23/24, 24/25, 25/26"
1656,Lorient,Lorient,lorient,FCL,https://www.sofascore.com/football/team/lorient/1656,Ligue 1,"22/23, 23/24, 25/26"
72,Luton Town,Luton,luton-town,LUT,https://www.sofascore.com/football/team/luton-town/72,EPL,23/24
2826,Mallorca,Mallorca,mallorca,MLL,https://www.sofascore.com/football/team/mallorca/2826,La Liga,"22/23, 23/24, 24/25, 25/26"
17,Manchester City,Man City,manchester-city,MCI,https://www.sofascore.com/football/team/manchester-city/17,EPL,"22/23, 23/24, 24/25, 25/26"
35,Manchester United,Man Utd,manchester-united,MUN,https://www.sofascore.com/football/team/manchester-united/35,EPL,"22/23, 23/24, 24/25, 25/26"
1651,Metz,Metz,metz,FCM,https://www.sofascore.com/football/team/metz/1651,Ligue 1,"23/24, 24/25, 25/26"
2692,Milan,Milan,milan,ACM,https://www.sofascore.com/football/team/milan/2692,Serie A,"22/23, 23/24, 24/25, 25/26"
1642,Montpellier,Montpellier,montpellier,MHS,https://www.sofascore.com/football/team/montpellier/1642,Ligue 1,"22/23, 23/24, 24/25"
2729,Monza,Monza,monza,MON,https://www.sofascore.com/football/team/monza/2729,Serie A,"22/23, 23/24, 24/25"
1647,Nantes,Nantes,nantes,FCN,https://www.sofascore.com/football/team/nantes/1647,Ligue 1,"22/23, 23/24, 24/25, 25/26"
2714,Napoli,Napoli,napoli,NAP,https://www.sofascore.com/football/team/napoli/2714,Serie A,"22/23, 23/24, 24/25, 25/26"
39,Newcastle United,Newcastle,newcastle-united,NEW,https://www.sofascore.com/football/team/newcastle-united/39,EPL,"22/23, 23/24, 24/25, 25/26"
1661,Nice,Nice,nice,OGC,https://www.sofascore.com/football/team/nice/1661,Ligue 1,"22/23, 23/24, 24/25, 25/26"
14,Nottingham Forest,Forest,nottingham-forest,NFO,https://www.sofascore.com/football/team/nottingham-forest/14,EPL,"22/23, 23/24, 24/25, 25/26"
1649,Olympique Lyonnais,Lyon,olympique-lyonnais,OL,https://www.sofascore.com/football/team/olympique-lyonnais/1649,Ligue 1,"22/23, 23/24, 24/25, 25/26"
1641,Olympique de Marseille,Marseille,olympique-de-marseille,OM,https://www.sofascore.com/football/team/olympique-de-marseille/1641,Ligue 1,"22/23, 23/24, 24/25, 25/26"
2820,Osasuna,Osasuna,osasuna,OSA,https://www.sofascore.com/football/team/osasuna/2820,La Liga,"22/23, 23/24, 24/25, 25/26"
6070,Paris FC,Paris,paris-fc,PFC,https://www.sofascore.com/football/team/paris-fc/6070,Ligue 1,"23/24, 25/26"
1644,Paris Saint-Germain,PSG,paris-saint-germain,PSG,https://www.sofascore.com/football/team/paris-saint-germain/1644,Ligue 1,"22/23, 23/24, 24/25, 25/26"
2690,Parma,Parma,parma,PAR,https://www.sofascore.com/football/team/parma/2690,Serie A,"24/25, 25/26"
2737,Pisa,Pisa,pisa,PIS,https://www.sofascore.com/football/team/pisa/2737,Serie A,25/26
36360,RB Leipzig,Leipzig,rb-leipzig,RBL,https://www.sofascore.com/football/team/rb-leipzig/36360,Bundesliga,"22/23, 23/24, 24/25, 25/26"
1648,RC Lens,Lens,rc-lens,RCL,https://www.sofascore.com/football/team/rc-lens/1648,Ligue 1,"22/23, 23/24, 24/25, 25/26"
1659,RC Strasbourg,Strasbourg,rc-strasbourg,STR,https://www.sofascore.com/football/team/rc-strasbourg/1659,Ligue 1,"22/23, 23/24, 24/25, 25/26"
2818,Rayo Vallecano,Rayo Vallecano,rayo-vallecano,RAY,https://www.sofascore.com/football/team/rayo-vallecano/2818,La Liga,"22/23, 23/24, 24/25, 25/26"
2816,Real Betis,Real Betis,real-betis,BET,https://www.sofascore.com/football/team/real-betis/2816,La Liga,"22/23, 23/24, 24/25, 25/26"
2829,Real Madrid,Real Madrid,real-madrid,RMA,https://www.sofascore.com/football/team/real-madrid/2829,La Liga,"22/23, 23/24, 24/25, 25/26"
2851,Real Oviedo,Real Oviedo,real-oviedo,OVI,https://www.sofascore.com/football/team/real-oviedo/2851,La Liga,25/26
2824,Real Sociedad,Real Sociedad,real-sociedad,RSO,https://www.sofascore.com/football/team/real-sociedad/2824,La Liga,"22/23, 23/24, 24/25, 25/26"
2831,Real Valladolid,Real Valladolid,real-valladolid,VLL,https://www.sofascore.com/football/team/real-valladolid/2831,La Liga,"22/23, 24/25"
6925,Rodez AF,Rodez,rodez-af,ROD,https://www.sofascore.com/football/team/rodez-af/6925,Ligue 1,23/24
2702,Roma,Roma,roma,ASR,https://www.sofascore.com/football/team/roma/2702,Serie A,"22/23, 23/24, 24/25, 25/26"
2538,SC Freiburg,Freiburg,sc-freiburg,SCF,https://www.sofascore.com/football/team/sc-freiburg/2538,Bundesliga,"22/23, 23/24, 24/25, 25/26"
2598,SV 07 Elversberg,Elversberg,sv-07-elversberg,ELV,https://www.sofascore.com/football/team/sv-07-elversberg/2598,Bundesliga,24/25
2534,SV Werder Bremen,Bremen,sv-werder-bremen,SVW,https://www.sofascore.com/football/team/sv-werder-bremen/2534,Bundesliga,"22/23, 23/24, 24/25, 25/26"
1678,Saint-Étienne,Saint-Étienne,saint-etienne,STE,https://www.sofascore.com/football/team/saint-etienne/1678,Ligue 1,"23/24, 24/25"
2710,Salernitana,Salernitana,salernitana,SAL,https://www.sofascore.com/football/team/salernitana/2710,Serie A,"22/23, 23/24"
2711,Sampdoria,Sampdoria,sampdoria,SAM,https://www.sofascore.com/football/team/sampdoria/2711,Serie A,22/23
2793,Sassuolo,Sassuolo,sassuolo,SAS,https://www.sofascore.com/football/team/sassuolo/2793,Serie A,"22/23, 23/24, 25/26"
2833,Sevilla,Sevilla,sevilla,SEV,https://www.sofascore.com/football/team/sevilla/2833,La Liga,"22/23, 23/24, 24/25, 25/26"
15,Sheffield United,Sheffield Utd,sheffield-united,SHU,https://www.sofascore.com/football/team/sheffield-united/15,EPL,23/24
45,Southampton,Southampton,southampton,SOU,https://www.sofascore.com/football/team/southampton/45,EPL,"22/23, 24/25"
2735,Spezia,Spezia,spezia,SPE,https://www.sofascore.com/football/team/spezia/2735,Serie A,22/23
1715,Stade Brestois,Brest,stade-brestois,BRE,https://www.sofascore.com/football/team/stade-brestois/1715,Ligue 1,"22/23, 23/24, 24/25, 25/26"
1658,Stade Rennais,Rennes,stade-rennais,SR,https://www.sofascore.com/football/team/stade-rennais/1658,Ligue 1,"22/23, 23/24, 24/25, 25/26"
1682,Stade de Reims,Reims,stade-de-reims,SDR,https://www.sofascore.com/football/team/stade-de-reims/1682,Ligue 1,"22/23, 23/24, 24/25"
41,Sunderland,Sunderland,sunderland,SUN,https://www.sofascore.com/football/team/sunderland/41,EPL,25/26
2569,TSG Hoffenheim,Hoffenheim,tsg-hoffenheim,TSG,https://www.sofascore.com/football/team/tsg-hoffenheim/2569,Bundesliga,"22/23, 23/24, 24/25, 25/26"
2696,Torino,Torino,torino,TOR,https://www.sofascore.com/football/team/torino/2696,Serie A,"22/23, 23/24, 24/25, 25/26"
33,Tottenham Hotspur,Tottenham ,tottenham-hotspur,TOT,https://www.sofascore.com/football/team/tottenham-hotspur/33,EPL,"22/23, 23/24, 24/25, 25/26"
1681,Toulouse,Toulouse,toulouse,TFC,https://www.sofascore.com/football/team/toulouse/1681,Ligue 1,"22/23, 23/24, 24/25, 25/26"
1652,Troyes,Troyes,troyes,EST,https://www.sofascore.com/football/team/troyes/1652,Ligue 1,22/23
6918,USL Dunkerque,Dunkerque,dunkerque,DUN,https://www.sofascore.com/football/team/dunkerque/6918,Ligue 1,24/25
2695,Udinese,Udinese,udinese,UDI,https://www.sofascore.com/football/team/udinese/2695,Serie A,"22/23, 23/24, 24/25, 25/26"
2828,Valencia,Valencia,valencia,VAL,https://www.sofascore.com/football/team/valencia/2828,La Liga,"22/23, 23/24, 24/25, 25/26"
2688,Venezia,Venezia,venezia,VEN,https://www.sofascore.com/football/team/venezia/2688,Serie A,24/25
2677,VfB Stuttgart,Stuttgart,vfb-stuttgart,VFB,https://www.sofascore.com/football/team/vfb-stuttgart/2677,Bundesliga,"22/23, 23/24, 24/25, 25/26"
2542,VfL Bochum 1848,Bochum,vfl-bochum-1848,BOC,https://www.sofascore.com/football/team/vfl-bochum-1848/2542,Bundesliga,"22/23, 23/24, 24/25"
2524,VfL Wolfsburg,Wolfsburg,vfl-wolfsburg,WOB,https://www.sofascore.com/football/team/vfl-wolfsburg/2524,Bundesliga,"22/23, 23/24, 24/25, 25/26"
2819,Villarreal,Villarreal,villarreal,VIL,https://www.sofascore.com/football/team/villarreal/2819,La Liga,"22/23, 23/24, 24/25, 25/26"
37,West Ham United,West Ham,west-ham-united,WHU,https://www.sofascore.com/football/team/west-ham-united/37,EPL,"22/23, 23/24, 24/25, 25/26"
3,Wolverhampton,Wolves,wolverhampton,WOL,https://www.sofascore.com/football/team/wolverhampton/3,EPL,"22/23, 23/24, 24/25, 25/26"
